"Year","Escapement","total_females","total_eggs","total_egg_mass"
1985,39082.03389,19228.36067388,138452494.935912,21129084.9595122
1986,49803.5292,28238.6010564,214890356.709688,34621269.5728393
1987,33794.57361,19127.72866326,147564051.411345,23975021.3812738
1988,49442.02593,28429.16490975,238210409.361053,42356522.1731115
1989,60544.92871,35055.51372309,260449935.773719,40612929.8178198
1990,85985.27594,47119.93121512,342182253.435112,52277989.8472969
1991,51661.62436,29188.8177634,215020725.153741,33697589.0690002
1992,46024.28684,19284.17618596,142141910.778489,21909895.0919846
1993,55345.83334,28779.8333368,222843572.455897,36362965.250518
1994,64047.4602,26387.5536024,198278640.801802,31476728.6185947
1995,69485.39983,35854.46631228,260415478.196006,39622458.3895633
1996,76424.76121,37983.10632137,251660798.858379,35831512.0924815
1997,83706.62361,48382.42844658,354931961.53243,54513760.7361033
1998,35519.75619,16481.16687216,110011515.411823,15374000.16445
1999,47001.67857,26508.94671348,176231672.026264,24386923.9270889
2000,21345.14989,10672.574945,72210269.3278803,10260067.401779
2001,68219.0399,24558.854364,168793029.57675,24215895.4611621
2002,48542.36806,21310.09957834,153278307.292271,23443883.9205387
2003,94909.19371,43183.68313805,333448948.859646,54163305.8568894
2004,55432.81294,30044.58461348,233304602.733142,38151025.5766807
2005,69334.57529,28843.18332064,201603591.591957,29539848.2942595
2006,64261.33166,30395.60987518,211090880.604717,30718672.9420064
2007,36229.43464,15739.7800878149,117563645.988771,18531542.3162787
2008,33885.3654,12469.8144672,NA,NA
2009,64971.26301,25707.3312682535,NA,NA
2010,32249.55899,13053.3929245238,NA,NA
2011,47007.986,24063.6118809524,181167269.092967,28987994.4448511
2012,32328.36651,16032.7671309756,NA,NA
2013,28487.95975,14727.7376820755,NA,NA
2014,63370.24675,22273.7005903465,NA,NA
2015,82694.8644,34790.7196504855,NA,NA
2016,69164.19752,22431.6316281082,NA,NA
2017,69386.51037,35320.5323997497,NA,NA
2018,54594.70389,23709.6999750857,166442874.752763,24557698.2245408
2019,42192.50152,20182.3337595668,NA,NA
2020,30646.03975,17153.1697898126,114918236.40511,16463523.8278862
2021,31509.23252,14164.7008576147,NA,NA
2022,12009.19331,5348.63231453781,38152658.8370586,5708996.72038398
2023,14576.19603,4325.83882180645,NA,NA
2024,24184.33633,8406.32011470588,NA,NA
