"HCR","escapement","harvest","cdn.harvest","ER","pr.closed","n.below.lwr","n.between.bench","n.above.upr","n.above.reb","n.extinct","prob"
"IMEG",42474.0185446198,31646.0296588115,8621.75981855667,0.383796586189712,0.142857142857143,0,0,2,0,0,"q_25"
"IMEG",46856.4721370927,38992.6803533147,10895.4603913087,0.432708456253896,0.19047619047619,0,1,4,1,0,"median"
"IMEG",51110.7277277426,48206.0974375862,13429.1249371402,0.483654211284622,0.285714285714286,1,3,6,3,0,"q_75"
"IMEG",47044.6152721953,40417.4607778616,11354.8456069264,0.432932104592942,0.219857142857143,0.886,1.977,4.255,1.869,0.013,"mean"
"IMEG.cap",61280.7412289663,23346.41550884,4692.71534485759,0.259237286862077,0.0952380952380952,0,0,3,1,0,"q_25"
"IMEG.cap",67298.0522278763,27738.9388785256,5730.536201764,0.283959966079018,0.19047619047619,0,0,5,3,0,"median"
"IMEG.cap",73841.5810553606,32525.4506440657,6711.00819650937,0.309317990808737,0.238095238095238,0,1,7,6,0,"q_75"
"IMEG.cap",67917.2584533268,28120.2055298607,5861.82619672503,0.282627749159577,0.190666666666667,0.074,0.311,5.078,3.525,0.012,"mean"
"PA.alternative",67433.4020651223,17720.8204731583,4235.23619891416,0.194057934219889,0.0476190476190476,0,0,2,2,0,"q_25"
"PA.alternative",73369.9990671545,21598.8776534193,5274.02210091286,0.22024082796046,0.0952380952380952,0,0,4,5,0,"median"
"PA.alternative",79774.2155592224,26058.1666601723,6376.97729728078,0.245957619548326,0.142857142857143,0,0,6,7,0,"q_75"
"PA.alternative",73904.0283324775,22136.6563030218,5425.27916842292,0.2190413032428,0.110238095238095,0.059,0.216,4.262,4.452,0.011,"mean"
"fixed.ER.10",77279.2054081374,8621.23302922303,1982.8835967213,0.0985519299372148,0,0,0,1,4,0,"q_25"
"fixed.ER.10",85447.9162236374,9517.30372100089,2189.55455740161,0.099973977540117,0,0,0,3,6,0,"median"
"fixed.ER.10",92425.2722390571,10329.8241003265,2375.85954307508,0.101388444644742,0,0,0,5,8,0,"q_75"
"fixed.ER.10",85460.3444663427,9491.75491841275,2183.80537318241,0.0999920048957093,0,0.046,0.163,3.121,5.66,0.01,"mean"
"fixed.ER.100",20.8894857133667,1687.94743738902,388.227910599475,0.303297405457313,0.333333333333333,0,0,0,0,9,"q_25"
"fixed.ER.100",72.8641863497682,2919.01948656494,671.374481909936,0.417261149942416,0.476190476190476,0,0,0,0,9,"median"
"fixed.ER.100",165.078555027691,4563.56742091181,1049.62050680972,0.53611885932381,0.666666666666667,0,0,0,0,9,"q_75"
"fixed.ER.100",114.909225141131,3424.69701342104,792.540534681058,0.417116266547454,0.481571428571429,0.005,0,0,0,8.995,"mean"
"fixed.ER.15",74202.6726078116,13006.386915801,2997.34963633989,0.147822471035729,0,0,0,2,3,0,"q_25"
"fixed.ER.15",81349.5757751315,14343.9597425301,3302.2626983582,0.149869125173883,0,0,0,3,6,0,"median"
"fixed.ER.15",88864.410708109,15770.6062813933,3633.52133224407,0.152183843593713,0,0,0,5,7,0,"q_75"
"fixed.ER.15",81819.2468372434,14434.6222007376,3328.15468176795,0.149956037354463,0,0.065,0.192,3.494,5.235,0.014,"mean"
"fixed.ER.20",69646.5055740972,17372.1989039632,4009.51104414443,0.19698361356489,0,0,0,2,3,0,"q_25"
"fixed.ER.20",76908.5158397192,19259.0883093969,4463.70728402262,0.200056629145845,0,0,0,4,5,0,"median"
"fixed.ER.20",85065.5303385381,21277.0199868909,4936.43187011945,0.203076017256409,0,0,0,6,7,0,"q_75"
"fixed.ER.20",77262.8171331907,19320.0041878574,4468.11672973965,0.20005546798403,0,0.067,0.222,3.921,4.777,0.013,"mean"
"fixed.ER.25",64852.2457039758,21574.7886334758,5013.56084214493,0.246455018987282,0,0,0,2,2,0,"q_25"
"fixed.ER.25",71884.7195247631,23995.9547517972,5585.86730774145,0.250566906046655,0,0,0,5,4,0,"median"
"fixed.ER.25",79489.5432416648,26621.7690605054,6199.90744299437,0.254209471393625,0,0,0,6,6,0,"q_75"
"fixed.ER.25",72511.0695857717,24207.9074970465,5634.79920549417,0.250365922091243,0,0.086,0.258,4.454,4.197,0.005,"mean"
"fixed.ER.30",60103.7190589615,25844.4746028653,5995.71181806846,0.295664097739499,0,0,0,3,1,0,"q_25"
"fixed.ER.30",67226.4802395138,28712.6276365328,6744.06765407788,0.300385920749951,0,0,0,5,3,0,"median"
"fixed.ER.30",74368.4625249857,32054.1891945538,7534.37546221845,0.304974252285814,0,0,0,7,6,0,"q_75"
"fixed.ER.30",67471.2158067746,28940.5220179909,6788.20671290649,0.300231914781979,0,0.073,0.312,4.884,3.724,0.007,"mean"
"fixed.ER.35",53773.2231007202,28885.1642595313,6768.45188338362,0.345145008106709,0,0,0,4,1,0,"q_25"
"fixed.ER.35",61339.0616874813,33055.4826370857,7800.16972605772,0.350415197372185,0,0,0,6,2,0,"median"
"fixed.ER.35",68902.2056715791,37042.1971855689,8852.19082615032,0.35568312653529,0,0,1,7,5,0,"q_75"
"fixed.ER.35",61694.7213314071,33274.5067977597,7869.02677182669,0.350318991015077,0,0.096,0.495,5.476,2.927,0.006,"mean"
"fixed.ER.40",49437.5659200925,32828.8142099403,7715.21610374379,0.393695100233841,0,0,0,5,0,0,"q_25"
"fixed.ER.40",55472.0516454814,37036.4919349565,8819.70363536459,0.399606837570765,0,0,0,6,2,0,"median"
"fixed.ER.40",62816.0592272471,41546.7332313456,9965.94679646366,0.405441465787606,0,0,1,7,4,0,"q_75"
"fixed.ER.40",56257.7424668654,37406.0105594651,8928.3784977059,0.399377690076905,0,0.13,0.661,5.799,2.4,0.01,"mean"
"fixed.ER.45",43830.9599745207,35940.8670978049,8501.73779402873,0.442711595135389,0,0,0,5,0,0,"q_25"
"fixed.ER.45",50145.3029513833,40797.9426756273,9831.51669178536,0.449406345411909,0,0,1,6,1,0,"median"
"fixed.ER.45",56728.8724061024,46438.0271471913,11169.3017452424,0.456545126651407,0,0,1,7,3,0,"q_75"
"fixed.ER.45",50400.2447400982,41167.6272399151,9911.66940617761,0.449582168167857,0,0.252,0.96,5.876,1.9,0.012,"mean"
"fixed.ER.5",81306.4033254097,4277.48221830965,983.820910211218,0.0492562646408621,0,0,0,1,4,0,"q_25"
"fixed.ER.5",88144.0002932211,4660.6862372227,1071.95783456122,0.0500037712871246,0,0,0,3,6,0,"median"
"fixed.ER.5",96610.7110170803,5070.60777622209,1166.23978853108,0.0507805309122415,0,0,0,4,8,0,"q_75"
"fixed.ER.5",89239.6714928593,4694.68902781568,1079.82058809372,0.0499826664849859,0,0.062,0.16,2.927,5.839,0.012,"mean"
"fixed.ER.50",37609.5740867768,37816.6048548753,8934.9749072575,0.493309862940012,0,0,0,5,0,0,"q_25"
"fixed.ER.50",44345.0672051486,44224.0940055607,10628.0145985858,0.499918976713685,0,0,1,6,1,0,"median"
"fixed.ER.50",50563.1522111075,50690.6227846967,12314.5406904558,0.507368776937645,0,1,2,7,2,0,"q_75"
"fixed.ER.50",44404.8970198837,44485.3207496403,10809.5840092752,0.500369595924572,0,0.379,1.326,5.873,1.419,0.003,"mean"
"fixed.ER.55",31388.3143694464,37855.5996516625,9025.98670933706,0.5404237341034,0,0,1,4,0,0,"q_25"
"fixed.ER.55",36422.1228870512,44709.1979577897,10854.0965627146,0.549073293496356,0,0,2,6,1,0,"median"
"fixed.ER.55",42918.9550823761,52300.6972356012,13029.1966829861,0.556924274308821,0,1,3,7,1,0,"q_75"
"fixed.ER.55",37362.1588989713,45548.7158149378,11169.31559779,0.549006298029134,0,0.724,1.941,5.405,0.925,0.005,"mean"
"fixed.ER.60",25476.1464858786,38092.6445066135,9021.75057587815,0.591445751879729,0,0,1,3,0,0,"q_25"
"fixed.ER.60",30735.1025231314,45954.0050750892,11115.5755617047,0.600123634968992,0,1,2,5,0,0,"median"
"fixed.ER.60",36203.8903296363,54469.3387463894,13475.0417696692,0.609121103915677,0,2,3,6,1,0,"q_75"
"fixed.ER.60",31295.0339223856,46956.2687646426,11535.8736676139,0.599953211595254,0,1.424,2.411,4.484,0.676,0.005,"mean"
"fixed.ER.65",19516.635659877,36253.6678415798,8615.04915582605,0.640292721204629,0,1,1.75,2,0,0,"q_25"
"fixed.ER.65",24231.5415357283,45305.8899014892,10881.9275225279,0.649469484201195,0,2,2,3,0,0,"median"
"fixed.ER.65",29292.6530581643,53642.7245611417,13266.6766921453,0.658901515667544,0,4,4,5,1,0,"q_75"
"fixed.ER.65",24566.0508783904,45610.0005258392,11200.2925612273,0.649888999577944,0,2.53,2.565,3.398,0.483,0.024,"mean"
"fixed.ER.70",14102.7465108449,33202.6739855015,7766.50973886675,0.688774870089933,0,3,2,1,0,0,"q_25"
"fixed.ER.70",17772.470571253,42108.9852825647,10144.8054102909,0.700217636478643,0,4,3,2,0,0,"median"
"fixed.ER.70",22304.5399039262,50975.4275427269,12528.6781551596,0.710462009359964,0,5,4,3,1,0,"q_75"
