"HCR","CU","year","H.50","H.25","H.75"
"IMEG","Big.Salmon",2024,0,0,0
"IMEG","Big.Salmon",2025,0,0,317.75
"IMEG","Big.Salmon",2026,0,0,200
"IMEG","Big.Salmon",2027,0,0,0
"IMEG","Big.Salmon",2028,0,0,0
"IMEG","Big.Salmon",2029,0,0,0
"IMEG","Big.Salmon",2030,0,0,0
"IMEG","Big.Salmon",2031,0,0,0
"IMEG","Big.Salmon",2032,0,0,0
"IMEG","Big.Salmon",2033,0,0,0
"IMEG","Big.Salmon",2034,0,0,0
"IMEG","Big.Salmon",2035,0,0,0
"IMEG","Big.Salmon",2036,0,0,0
"IMEG","Big.Salmon",2037,0,0,0
"IMEG","Big.Salmon",2038,0,0,0
"IMEG","Big.Salmon",2039,0,0,0
"IMEG","Big.Salmon",2040,0,0,0
"IMEG","Big.Salmon",2041,0,0,0
"IMEG","Big.Salmon",2042,0,0,0
"IMEG","Big.Salmon",2043,0,0,0
"IMEG","Big.Salmon",2044,0,0,0
"IMEG","Big.Salmon",2045,0,0,0
"IMEG","Big.Salmon",2046,0,0,0
"IMEG","Big.Salmon",2047,0,0,0
"IMEG","Big.Salmon",2048,0,0,0
"IMEG","Big.Salmon",2049,0,0,0
"IMEG","Big.Salmon",2050,0,0,0
"IMEG","Big.Salmon",2051,0,0,0
"IMEG","MiddleYukonR.andtribs.",2024,0,0,0
"IMEG","MiddleYukonR.andtribs.",2025,0,0,751.75
"IMEG","MiddleYukonR.andtribs.",2026,0,0,530.5
"IMEG","MiddleYukonR.andtribs.",2027,0,0,0
"IMEG","MiddleYukonR.andtribs.",2028,0,0,0
"IMEG","MiddleYukonR.andtribs.",2029,0,0,0
"IMEG","MiddleYukonR.andtribs.",2030,0,0,0
"IMEG","MiddleYukonR.andtribs.",2031,0,0,0
"IMEG","MiddleYukonR.andtribs.",2032,0,0,0
"IMEG","MiddleYukonR.andtribs.",2033,0,0,0
"IMEG","MiddleYukonR.andtribs.",2034,0,0,0
"IMEG","MiddleYukonR.andtribs.",2035,0,0,0
"IMEG","MiddleYukonR.andtribs.",2036,0,0,0
"IMEG","MiddleYukonR.andtribs.",2037,0,0,0
"IMEG","MiddleYukonR.andtribs.",2038,0,0,0
"IMEG","MiddleYukonR.andtribs.",2039,0,0,0
"IMEG","MiddleYukonR.andtribs.",2040,0,0,0
"IMEG","MiddleYukonR.andtribs.",2041,0,0,0
"IMEG","MiddleYukonR.andtribs.",2042,0,0,0
