"HCR","CU","year","H.50","H.25","H.75"
"IMEG","Big.Salmon",2024,0,0,0
"IMEG","Big.Salmon",2025,0,0,0
"IMEG","Big.Salmon",2026,0,0,0
"IMEG","Big.Salmon",2027,0,0,0
"IMEG","Big.Salmon",2028,0,0,0
"IMEG","Big.Salmon",2029,0,0,0
"IMEG","Big.Salmon",2030,0,0,0
"IMEG","Big.Salmon",2031,0,0,0
"IMEG","Big.Salmon",2032,0,0,433.25
"IMEG","Big.Salmon",2033,0,0,465.25
"IMEG","Big.Salmon",2034,0,0,466.25
"IMEG","Big.Salmon",2035,0,0,324
"IMEG","Big.Salmon",2036,0,0,353.75
"IMEG","Big.Salmon",2037,0,0,536.75
"IMEG","Big.Salmon",2038,0,0,313.5
"IMEG","Big.Salmon",2039,0,0,437.5
"IMEG","Big.Salmon",2040,0,0,435.25
"IMEG","Big.Salmon",2041,0,0,371.5
"IMEG","Big.Salmon",2042,0,0,410.25
"IMEG","Big.Salmon",2043,0,0,290.5
"IMEG","Big.Salmon",2044,0,0,270.25
"IMEG","Big.Salmon",2045,0,0,229
"IMEG","Big.Salmon",2046,0,0,293.5
"IMEG","Big.Salmon",2047,0,0,242
"IMEG","Big.Salmon",2048,0,0,207.5
"IMEG","Big.Salmon",2049,0,0,165.25
"IMEG","Big.Salmon",2050,0,0,203.25
"IMEG","Big.Salmon",2051,0,0,257
"IMEG","MiddleYukonR.andtribs.",2024,0,0,0
"IMEG","MiddleYukonR.andtribs.",2025,0,0,0
"IMEG","MiddleYukonR.andtribs.",2026,0,0,0
"IMEG","MiddleYukonR.andtribs.",2027,0,0,0
"IMEG","MiddleYukonR.andtribs.",2028,0,0,0
"IMEG","MiddleYukonR.andtribs.",2029,0,0,0
"IMEG","MiddleYukonR.andtribs.",2030,0,0,0
"IMEG","MiddleYukonR.andtribs.",2031,0,0,0
"IMEG","MiddleYukonR.andtribs.",2032,0,0,1479.5
"IMEG","MiddleYukonR.andtribs.",2033,0,0,1354.75
"IMEG","MiddleYukonR.andtribs.",2034,0,0,1231.25
"IMEG","MiddleYukonR.andtribs.",2035,0,0,912.25
"IMEG","MiddleYukonR.andtribs.",2036,0,0,1035.25
"IMEG","MiddleYukonR.andtribs.",2037,0,0,1554.75
"IMEG","MiddleYukonR.andtribs.",2038,0,0,914.25
"IMEG","MiddleYukonR.andtribs.",2039,0,0,1190.5
"IMEG","MiddleYukonR.andtribs.",2040,0,0,1168.25
"IMEG","MiddleYukonR.andtribs.",2041,0,0,1019.75
"IMEG","MiddleYukonR.andtribs.",2042,0,0,1208.5
"IMEG","MiddleYukonR.andtribs.",2043,0,0,1006.75
"IMEG","MiddleYukonR.andtribs.",2044,0,0,902.25
"IMEG","MiddleYukonR.andtribs.",2045,0,0,805
"IMEG","MiddleYukonR.andtribs.",2046,0,0,893.5
"IMEG","MiddleYukonR.andtribs.",2047,0,0,509.75
"IMEG","MiddleYukonR.andtribs.",2048,0,0,646
"IMEG","MiddleYukonR.andtribs.",2049,0,0,537.25
"IMEG","MiddleYukonR.andtribs.",2050,0,0,668
"IMEG","MiddleYukonR.andtribs.",2051,0,0,851
"IMEG","Nordenskiold",2024,0,0,0
"IMEG","Nordenskiold",2025,0,0,0
"IMEG","Nordenskiold",2026,0,0,0
"IMEG","Nordenskiold",2027,0,0,0
"IMEG","Nordenskiold",2028,0,0,0
"IMEG","Nordenskiold",2029,0,0,0
"IMEG","Nordenskiold",2030,0,0,0
"IMEG","Nordenskiold",2031,0,0,0
"IMEG","Nordenskiold",2032,0,0,423
